作物编号	A	B	C	D	E	F	总种植面积
1	72.0	60.0	15.0	0.0	0.0	0.0	147.0
2	0.0	46.0	0.0	0.0	0.0	0.0	46.0
3	0.0	40.0	20.0	0.0	0.0	0.0	60.0
4	68.0	28.0	0.0	0.0	0.0	0.0	96.0
5	0.0	25.0	0.0	0.0	0.0	0.0	25.0
6	80.0	115.0	27.0	0.0	0.0	0.0	222.0
7	90.0	45.0	0.0	0.0	0.0	0.0	135.0
8	55.0	130.0	0.0	0.0	0.0	0.0	185.0
9	0.0	50.0	0.0	0.0	0.0	0.0	50.0
10	0.0	25.0	0.0	0.0	0.0	0.0	25.0
11	0.0	0.0	15.0	0.0	0.0	0.0	15.0
12	0.0	0.0	13.0	0.0	0.0	0.0	13.0
13	0.0	0.0	18.0	0.0	0.0	0.0	18.0
14	0.0	35.0	0.0	0.0	0.0	0.0	35.0
15	0.0	20.0	0.0	0.0	0.0	0.0	20.0
16	0.0	0.0	0.0	42.0	0.0	0.0	42.0
17	0.0	0.0	0.0	10.0	1.2	0.6	11.8
18	0.0	0.0	0.0	12.0	1.2	0.0	13.2
19	0.0	0.0	0.0	0.0	1.2	0.6	1.8
20	0.0	0.0	0.0	15.0	0.0	0.0	15.0
21	0.0	0.0	0.0	14.0	0.6	0.3	14.9
22	0.0	0.0	0.0	6.0	0.6	0.3	6.9
23	0.0	0.0	0.0	0.0	0.0	0.3	0.3
24	0.0	0.0	0.0	0.0	0.6	0.3	0.9
25	0.0	0.0	0.0	0.0	0.6	0.3	0.9
26	0.0	0.0	0.0	0.0	0.6	0.3	0.9
27	0.0	0.0	0.0	0.0	0.9	0.0	0.9
28	0.0	0.0	0.0	10.0	0.6	0.3	10.9
29	0.0	0.0	0.0	0.0	0.6	0.3	0.9
30	0.0	0.0	0.0	0.0	0.3	0.3	0.6
31	0.0	0.0	0.0	0.0	0.6	0.0	0.6
32	0.0	0.0	0.0	0.0	0.0	0.3	0.3
33	0.0	0.0	0.0	0.0	0.0	0.3	0.3
34	0.0	0.0	0.0	0.0	0.0	0.3	0.3
35	0.0	0.0	0.0	30.0	0.0	0.0	30.0
36	0.0	0.0	0.0	25.0	0.0	0.0	25.0
37	0.0	0.0	0.0	12.0	0.0	0.0	12.0
38	0.0	0.0	0.0	0.0	1.8	0.0	1.8
39	0.0	0.0	0.0	0.0	1.8	0.0	1.8
40	0.0	0.0	0.0	0.0	1.8	0.0	1.8
41	0.0	0.0	0.0	0.0	4.2	0.0	4.2
