作物编号 作物名称 Y(A) Y(B) Y(C) C P Y S_max S_min S
6 小麦 800 760 720 450 3.5 170840.0 237.3 213.6 222.0
7 玉米 1000 950 900 500 3.0 132750.0 147.5 132.8 135.0
8 谷子 400 380 360 360 6.75 71400.0 198.3 178.5 185.0
9 高粱 630 600 570 400 6.0 30000.0 52.6 47.6 50.0
10 黍子 525 500 475 360 7.5 12500.0 26.3 23.8 25.0
11 荞麦 110 105 100 350 40.0 1500.0 15.0 13.6 15.0
12 南瓜 3000 2850 2700 1000 1.5 35100.0 13.0 11.7 13.0
13 红薯 2200 2100 2000 2000 3.25 36000.0 18.0 16.4 18.0
14 莜麦 420 400 380 400 5.5 14000.0 36.8 33.3 35.0
15 大麦 525 500 475 350 3.5 10000.0 21.1 19.0 20.0
