作物编号 作物名称 Y(D1) C(D1) P(D1) Y(E1) C(E1) P(E1) Y(F2) C(F2) P(F2) Y S_max S_min S
20 土豆 2000 2000 3.75 2400 2400 3.75 2200 2640 4.5 30000.0 15.0 12.5 15.0
21 西红柿 2400 2000 6.25 3000 2400 6.25 2700 2640 7.5 36210.0 15.1 12.1 14.9
22 茄子 6400 2000 5.5 8000 2400 5.5 7200 2640 6.6 45360.0 7.1 5.7 6.9
23 菠菜 2700 2300 5.75 3300 2700 5.75 3000 3000 6.9 900.0 0.3 0.3 0.3
24 青椒 2400 1600 5.25 3000 2000 5.25 2700 2200 6.8 2610.0 1.1 0.9 0.9
25 菜花 3300 2400 5.5 4000 3000 5.5 3600 3300 6.6 3600.0 1.1 0.9 0.9
26 包菜 3700 2900 6.5 4500 3500 6.5 4100 3850 7.8 4050.0 1.1 0.9 0.9
27 油麦菜 4100 1600 5.0 5000 2000 5.0 4500 2200 6.0 4500.0 1.1 0.9 0.9
28 小青菜 3200 1600 5.75 4000 2000 5.75 3600 2200 6.9 35480.0 11.1 8.9 10.9
29 黄瓜 12000 2900 7.0 15000 3500 7.0 13500 3850 8.4 13050.0 1.1 0.9 0.9
30 生菜 4100 1600 5.25 5000 2000 5.25 4500 2200 6.3 2850.0 0.7 0.6 0.6
31 辣椒 1600 1000 7.25 2000 1200 7.25 1800 1300 8.7 1200.0 0.8 0.6 0.6
32 空心菜 10000 4100 4.5 12000 5000 4.5 11000 5500 5.4 3600.0 0.4 0.3 0.3
33 黄心菜 5000 2000 4.5 6000 2500 4.5 5400 2750 5.4 1800.0 0.4 0.3 0.3
34 芹菜 5500 900 4.0 6600 1100 4.0 6000 1200 4.8 1800.0 0.3 0.3 0.3
